current;S;L(cat);N;L (mm);W (mm);A (mm);H (mm);H(>5mm);CSF (LxW);CSF (A);CSF(>5mm);CSF(LxW+5mm));D;category;PT;
Center North Atlantic Gyre;21;5mm;46;7,273;4,774;18,128;0,009;0,009;0,001459488;0,00201987;0,001527371;0,001527371;0,875;film;PP;
Center North Atlantic Gyre;21;5mm;47;6,36;3,577;15,899;0,009;0,009;0,001803061;0,002156818;0,001886924;0,001886924;0,935;film;PE;
Center North Atlantic Gyre;21;5mm;48;7,143;3,793;19,762;0,009;0,009;0,001652216;0,001934564;0,001729063;0,001729063;0,935;film;PE;
Center North Atlantic Gyre;21;2mm (AEW);49;4,209;3,448;9,302;0,009;;0,002257488;0,002819748;;0,002257488;0,935;film;PE;
Center North Atlantic Gyre;21;1mm (FS);50;1,97;1,615;2,29;1,324;;0,7422658;0,874905378;;0,7422658;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);51;2,336;1,775;2,495;1,349;;0,662351125;0,853863799;;0,662351125;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);52;1,558;1,194;1,292;0,915;;0,670896166;0,805026067;;0,670896166;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);53;3,044;2,239;4,767;1,647;;0,630832658;0,754294538;;0,630832658;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);54;3,077;1,742;3,141;0,009;;0,003714588;0,004852488;;0,003714588;0,935;film;PE;
Center North Atlantic Gyre;21;1mm (AEW);55;3,974;1,782;5,124;0,799;;0,300275401;0,353006723;;0,300275401;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);56;2,008;1,642;2,161;1,343;;0,739459115;0,913387815;;0,739459115;0,935;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);57;3,117;2,604;5,747;2,175;;0,763583027;0,907453874;;0,763583027;0,935;fragment;PE;
Center North Atlantic Gyre;21;5mm;58;5,942;2,985;8,866;0,009;0,009;0,00204202;0,002888249;0,002136998;0,002136998;0,935;film;PE;
