current;S;L(cat);N;L (mm);W (mm);A (mm);H (mm);H(>5mm);CSF (LxW);CSF (A);CSF(>5mm);CSF(LxW+5mm));D;category;PT;
Center North Atlantic Gyre;23;1mm (FS);811;3,549;2,308;5,154;1,500947873;;0,52443867;0,661139953;;0,763926581;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);812;3;1,789;3,515;1,066840333;;0,460504235;0,569032094;;0,535660895;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);813;2,586;1,936;3,314;1,449379737;;0,647761674;0,796170228;;0,479352322;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);814;2,037;1,408;2,018;0,973227295;;0,574668561;0,685099577;;0,644186533;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);815;1,946;1,308;1,84;0,879169579;;0,551058064;0,648132412;;0,592782302;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);816;3,329;1,849;3,917;1,026975368;;0,413937406;0,518899487;;0,628072778;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);817;2,626;1,769;3,373;1,191683549;;0,552903917;0,648862646;;0,42861693;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);818;2,631;1,923;3,935;1,405522235;;0,624867093;0,708541597;;0,597743676;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);819;2,071;1,435;1,882;0,994314341;;0,576776694;0,724792839;;0,620558722;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);820;2,491;1,832;3,03;1,347340024;;0,630706944;0,77402662;;0,601749741;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);821;3,828;2;5,911;1,044932079;;0,377647922;0,429791263;;0,660627548;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);822;1,878;1,443;1,882;1,108758786;;0,673528713;0,808215667;;0,402690622;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);823;2,355;1,686;2,586;1,207047134;;0,605759157;0,750602435;;0,655680729;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);824;2,137;1,739;2,456;1,415124474;;0,734078644;0,902984843;;0,640754295;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);825;1,859;1,385;1,639;1,031858526;;0,64306604;0,805991905;;0,733738571;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);826;3,471;1,765;4,527;0,89750072;;0,362606132;0,421822323;;0,67203862;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);827;3,132;2,201;4,805;1,546743614;;0,589111409;0,705621225;;0,385728806;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);828;2,044;1,615;2,03;1,276039628;;0,702323908;0,895604244;;0,59985396;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);829;2,656;1,432;2,858;0,772072289;;0,395888076;0,456695627;;0,752113836;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);830;2,62;2,19;4,225;1,830572519;;0,764212673;0,89058132;;0,423668648;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);831;3,628;1,717;4,207;0,81259344;;0,325577606;0,39617499;;0,764906346;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);832;1,635;1,376;1,444;1,158028135;;0,772059934;0,963685921;;0,346126352;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);833;2,414;1,719;2,864;1,224093206;;0,600907904;0,723315848;;0,778161914;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);834;2,863;2,02;3,899;1,425218302;;0,592645556;0,721779883;;0,640782664;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);835;2,595;1,231;2,112;0,583954143;;0,326723999;0,40182022;;0,599877346;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);836;3,239;2,385;5,189;1,756167027;;0,631853147;0,770946042;;0,302458669;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);837;2,797;1,812;3,343;1,173880586;;0,521433093;0,642030607;;0,647643875;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);838;3,043;1,681;3,071;0,928610253;;0,410580805;0,529899569;;0,537874914;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);839;3,235;1,692;4,367;0,884965688;;0,378258861;0,423481884;;0,426824776;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);840;2,433;1,308;2,266;0,703191122;;0,39418351;0,467136095;;0,405237303;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);841;3,199;2,089;4,45;1,36415161;;0,527699035;0,646669882;;0,440655757;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);842;2,308;1,402;2,414;0,85164818;;0,473443669;0,548140119;;0,528592861;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);843;3,112;2,055;4,385;1,357013175;;0,5366095;0,648036198;;0,511205175;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);844;2,515;2,153;3,763;1,84310497;;0,792061786;0,950129847;;0,567248873;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);845;2,172;1,846;3,024;1,568930018;;0,783533941;0,902220476;;0,801321093;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);846;1,911;1,512;2,148;1,196307692;;0,703779571;0,816254816;;0,875668069;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);847;3,035;2,002;4,45;1,320594399;;0,535744926;0,626021783;;0,708994886;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);848;2,433;1,948;3,55;1,559681052;;0,71642423;0,827792752;;0,672409207;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);849;2,013;1,679;2,444;1,400417784;;0,76174635;0,895791664;;0,545113326;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);850;2,078;1,615;2,45;1,255161213;;0,685157593;0,801893084;;0,721889562;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);851;3,559;2,065;5,769;1,198152571;;0,441965228;0,498840671;;0,632723383;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);852;3,246;2,433;5,456;1,823625693;;0,64891885;0,780725782;;0,741284597;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);853;2,88;2,126;4,012;1,569401389;;0,634243695;0,783526285;;0,451228198;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);854;3,435;2,589;6,562;1,951359825;;0,654346771;0,761761898;;0,652243489;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);855;2,571;1,615;3,024;1,014478802;;0,497858212;0,583380735;;0,646814604;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);856;2,512;1,741;3,302;1,206640525;;0,576990555;0,664032557;;0,686901937;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);857;3,638;1,686;3,746;0,781362287;;0,315494878;0,403709119;;0,476088884;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);858;2,283;1,636;2,414;1,172359177;;0,606619102;0,754557003;;0,619510225;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);859;4,265;2,625;7,822;1,615621336;;0,482853527;0,577671144;;0,336348127;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);860;1,757;1,452;1,769;1,199945361;;0,751263488;0,902189056;;0,592501568;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);861;2,774;2,008;4,148;1,453519827;;0,615865502;0,713676812;;0,502879191;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);862;2,048;1,615;2,462;1,273547363;;0,700267324;0,811654268;;0,706582494;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);863;2,019;1,594;2,337;1,258462605;;0,70150052;0,82321061;;0,623232687;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);864;2,139;1,412;2,314;0,932091632;;0,536334666;0,612740987;;0,743739483;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);865;2,273;2,135;3,396;2,005378355;;0,910327506;1,088209423;;0,658828696;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);866;1,97;1,615;2,189;1,323972081;;0,7422658;0,894861753;;0,558818368;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);867;3,96;2,355;6,651;1,400511364;;0,458610072;0,543054183;;0,901887783;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);868;1,68;1,385;1,574;1,141800595;;0,748532631;0,910097457;;0,734737529;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);869;2,415;2,071;3,207;1,776000414;;0,794135199;0,991730301;;0,466716493;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);870;1,9;1,615;2,178;1,37275;;0,783661279;0,930170399;;0,78089089;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);871;2,176;1,493;2,13;1,024379136;;0,568331039;0,701893019;;0,780396782;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);872;2,414;1,718;2,734;1,222669428;;0,600383628;0,739451677;;0,692140481;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);873;3,417;2,242;4,296;1,471045947;;0,531478798;0,709731533;;0,533184562;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);874;2,048;1,649;2,231;1,327734863;;0,722497011;0,888917741;;0,631050018;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);875;3,017;1,88;3,592;1,171494862;;0,491896586;0,618119186;;0,539554364;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);876;2,314;1,445;2,491;0,902344425;;0,493465436;0,571722752;;0,665831879;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);877;2,353;1,692;2,959;1,216686783;;0,609772237;0,707304315;;0,512431244;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);878;3,392;2,428;6,036;1,737966981;;0,60560473;0,707403014;;0,526131469;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);879;2,656;2,103;3,509;1,665138931;;0,704558085;0,888912044;;0,645319584;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);880;3,243;1,411;3,207;0,613913352;;0,286992203;0,34281325;;0,619783005;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);881;3,971;1,547;3,817;0,602671619;;0,243156364;0,308474778;;0,68183914;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);882;2,24;1,846;2,598;1,521301786;;0,748127325;0,943834399;;0,307122544;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);883;2,243;1,584;2,592;1,118616139;;0,593456452;0,694806035;;0,25335516;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);884;2,093;1,555;2,284;1,155291448;;0,64038588;0,764440184;;0,788062675;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);885;2,048;1,446;2,041;1,020955078;;0,593276999;0,714636397;;0,6252526;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);886;2,579;1,769;3,225;1,213400931;;0,56808685;0,675677511;;0,63669841;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);887;2,177;1,841;3,083;1,556858521;;0,77766587;0,886670757;;0,597734035;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);888;3,438;1,893;4,16;1,042306283;;0,4085706;0,511032699;;0,592145845;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);889;2,822;2,077;4,479;1,528677888;;0,631421304;0,722313035;;0,76640096;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);890;3,139;2,209;4,503;1,554533609;;0,590345966;0,732570022;;0,451023152;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);891;2,295;1,922;3,231;1,609622658;;0,76640096;0,895479396;;0,606118791;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);892;3,746;2,229;5,645;1,326332355;;0,459000801;0,558239278;;0,600392827;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);893;2,739;1,942;3,609;1,376912742;;0,597015752;0,72479131;;0,76954799;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);894;1,905;1,497;1,893;1,176382677;;0,696610844;0,855014173;;0,471196064;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);895;2,243;2,027;3,071;1,831800713;;0,85908614;1,045293658;;0,577184381;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);896;4,013;1,8;5,373;0,807376028;;0,300403521;0,348311193;;0,689819019;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);897;2,477;1,515;2,663;0,926614857;;0,478332555;0,56782391;;0,846428028;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);898;1,985;1,462;2,337;1,076797985;;0,632091998;0,704376532;;0,304726009;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);899;1,708;1,538;1,805;1,384920375;;0,854481577;1,030827988;;0,506254513;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);900;3,683;2,026;5,408;1,114492533;;0,407996637;0,479246359;;0,65605857;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);901;2,854;2,077;4,544;1,511537842;;0,620831568;0,709087554;;0,807772893;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);902;2,523;1,411;2,763;0,789108601;;0,418229483;0,474729625;;0,44320533;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);903;2,512;2,011;3,586;1,60992078;;0,716289613;0,850157447;;0,658351966;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);904;2,701;2,149;3,645;1,709811551;;0,709688466;0,895569883;;0,426444162;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);905;1,756;1,308;1,633;0,974296128;;0,6428725;0,762426327;;0,745446726;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);906;1,431;1,101;1,089;0,847100629;;0,674872183;0,811747695;;0,740740374;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);907;1,849;1,178;1,71;0,750505138;;0,508525305;0,573925623;;0,716954471;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);908;2,919;1,671;3,592;0,956574512;;0,43312528;0,504720147;;0,664235449;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);909;2,903;2,336;4,817;1,879743713;;0,721836276;0,856466376;;0,534746344;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);910;2,243;1,591;2,142;1,128524744;;0,597394691;0,771083398;;0,498467812;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);911;2,774;1,896;3,249;1,295896179;;0,565064228;0,71894448;;0,744628095;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);912;4,202;2,604;7,994;1,613711566;;0,48783999;0,570747266;;0,613348652;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);913;2,295;1,802;2,621;1,414903704;;0,695757898;0,873963656;;0,579951082;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);914;2,143;1,231;1,746;0,707121325;;0,435365311;0,535145423;;0,511471382;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);915;2,54;1,632;2,462;1,048592126;;0,515026596;0,668286315;;0,722632422;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);916;2,188;1,828;2,716;1,527232176;;0,763648162;0,926702175;;0,436817461;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);917;2,483;1,583;2,586;1,009218284;;0,509045137;0,627582536;;0,514925288;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);918;2,243;1,897;3,225;1,604373161;;0,777780563;0,893388852;;0,774133255;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);919;3,139;2,23;4,716;1,584230647;;0,598784185;0,729510441;;0,544172764;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);920;2,454;1,899;3,077;1,46951956;;0,680731127;0,837744573;;0,755984089;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);921;3,03;1,953;4,438;1,258814851;;0,517475058;0,597541687;;0,585435773;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);922;2,36;1,615;2,686;1,105180085;;0,566096912;0,674341746;;0,669656369;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);923;2,314;1,568;2,503;1,062499568;;0,557794279;0,671580902;;0,560273452;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);924;2,236;1,846;2,876;1,524023256;;0,75013572;0,898663605;;0,600623278;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);925;3,97;2,806;7,266;1,983283627;;0,594217913;0,73576162;;0,597527495;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);926;4,689;1,396;3,781;0,415614417;;0,162445535;0,213740719;;0,759301639;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);927;1,828;1,246;1,473;0,849297593;;0,562746466;0,699775156;;0,61955718;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);928;2,187;1,711;2,491;1,33860128;;0,691993221;0,848133802;;0,183603612;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);929;3,489;2,71;6,675;2,104929779;;0,684545756;0,814726753;;0,59625675;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);930;2,512;1,761;2,538;1,234522691;;0,586961453;0,774913573;;0,683876877;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);931;3,343;2,315;5,728;1,603118456;;0,576264582;0,669829252;;0,701562773;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);932;3,264;1,681;3,746;0,8657356;;0,369595219;0,447302567;;0,565781794;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);933;2,283;1,615;2,734;1,142455103;;0,594976651;0,690939286;;0,606628792;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);934;2,506;1,846;3,213;1,359822825;;0,632231231;0,758624674;;0,395784408;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);935;2,414;1,503;2,55;0,935794946;;0,491283946;0,586017527;;0,610019769;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);936;2,993;1,846;3,604;1,138561978;;0,484381413;0,599741754;;0,653435744;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);937;2,504;2,154;3,68;1,852921725;;0,797842307;0,96590222;;0,826363975;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);938;2,078;1,769;2,609;1,505948508;;0,785458845;0,932337351;;0,502627556;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);939;2,236;1,76;2,29;1,385330948;;0,69833097;0,915452458;;0,803740254;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);940;2,019;1,385;1,834;0,950086677;;0,568159381;0,701557969;;0,510592068;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);941;3,819;2,077;5,781;1,129596491;;0,401079308;0,46980956;;0,842765311;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);942;3,054;2,126;4,716;1,479985593;;0,580819704;0,681507421;;0,757513705;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);943;4,515;2,414;7,124;1,29067464;;0,390948244;0,483564958;;0,58893296;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);944;4,457;2,567;8,982;1,47845838;;0,437094007;0,49331302;;0,410626649;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);945;2,2;1,411;1,947;0,904964091;;0,513637235;0,648557328;;0,576452156;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);946;2,883;1,893;3,586;1,242958377;;0,532057975;0,656374111;;0,411849189;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);947;2,295;1,795;3,124;1,403932462;;0,691707755;0,794311231;;0,471711167;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);948;3,273;2,067;5,047;1,305373969;;0,501870544;0,581056409;;0,520348047;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);949;4,314;2,48;8,03;1,42568382;;0,435870333;0,503112895;;0,567270005;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);950;1,997;1,231;1,746;0,758818728;;0,483971717;0,574269725;;0,741763608;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);951;2,155;1,305;1,639;0,790266821;;0,471242939;0,617282937;;0,531111696;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);952;2,8;1,818;3,207;1,180401429;;0,523183178;0,659143914;;0,518477702;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);953;1,996;1,462;1,964;1,070863727;;0,626873994;0,764123342;;0,45993692;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);954;2,701;2,166;3,935;1,736970011;;0,71812625;0,875628628;;0,477727531;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);955;2,019;1,593;2,178;1,256884101;;0,700840491;0,851660088;;0,575077668;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);956;3,157;1,95;4,047;1,204466265;;0,485445013;0,598725891;;0,673937638;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);957;3,563;2,585;6,604;1,87544906;;0,617969566;0,729796439;;0,727721025;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);958;2,336;2;3,018;1,712328767;;0,792201638;0,985660914;;0,737029112;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);959;4,638;2,726;8,391;1,60221561;;0,450601529;0,553113296;;0,530062829;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);960;2,676;2,077;3,781;1,612081091;;0,683794465;0,829055386;;0,637309157;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);961;4,758;1,876;5,805;0,739675494;;0,24757831;0,307001232;;0,723110618;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);962;2,36;1,67;2,373;1,181737288;;0,595260003;0,767135482;;0,485346715;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);963;2,862;2,146;4,071;1,609125087;;0,64929212;0,797515724;;0,73915561;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);964;2,862;2,184;4,515;1,666616352;;0,666614118;0,78434433;;0,267010886;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);965;1,558;1,308;1,402;1,098115533;;0,769237479;0,927414812;;0,569382245;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);966;2,676;2,154;3,953;1,733825112;;0,722169903;0,872050994;;0,638727413;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);967;2,429;1,849;3,201;1,407493207;;0,664146815;0,786689712;;0,655558391;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);968;2,36;1,318;2,012;0,736069492;;0,41735451;0,518925281;;0,771844678;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);969;2,386;1,792;2,751;1,345877619;;0,650880633;0,811447219;;0,769381779;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);970;2,34;1,769;2,888;1,337333761;;0,657306555;0,786939262;;0,689185455;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);971;2,722;1,656;3,32;1,007470977;;0,474524147;0,552921531;;0,43843398;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);972;2,463;2,098;3,166;1,78709054;;0,786161204;1,004363914;;0,662967816;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);973;4,013;1,96;5,544;0,957288811;;0,341334642;0,406566295;;0,673494016;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);974;2,557;1,923;3,533;1,446198279;;0,652188046;0,769406803;;0,496044478;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);975;4,315;1,995;6,58;0,922369641;;0,314371487;0,359577123;;0,788933215;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);976;2,647;2;3,728;1,511144692;;0,656771172;0,782650917;;0,375944077;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);977;2,483;2,154;3,858;1,868592831;;0,807985318;0,951335201;;0,653435744;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);978;3,563;2,494;6,124;1,745730003;;0,585626796;0,705439031;;0,325383322;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);979;2,454;1,795;3,337;1,312968623;;0,625582861;0,71874733;;0,72793769;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);980;4,315;1,632;5,089;0,61724774;;0,232599636;0,27361713;;0,86280859;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);981;1,586;1,303;1,45;1,070497478;;0,744666555;0,888999767;;0,603285472;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);982;3,929;2,291;5,615;1,335882158;;0,445260932;0,563758716;;0,617388212;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);983;4,651;2,513;7,84;1,357808858;;0,397163403;0,484931735;;0,260992409;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);984;3,984;2,462;6,669;1,521446787;;0,485795042;0,589150715;;0,701665748;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);985;2,443;1,692;2,787;1,171864102;;0,57638854;0,701954183;;0,442742679;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);986;2,053;1,462;2,16;1,041132002;;0,600949025;0,7084006;;0,403465691;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);987;1,815;1,251;1,456;0,862259504;;0,572230524;0,714590606;;0,507140017;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);988;1,946;1,581;2,166;1,284460946;;0,732290754;0,872753658;;0,602189606;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);989;3,36;2,349;5,13;1,642202679;;0,584541849;0,725050195;;0,564393397;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);990;2,264;1,985;3,101;1,740382067;;0,820967818;0,988311199;;0,603964167;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);991;1,652;1,17;1,266;0,828631961;;0,596023973;0,736452647;;0,756872145;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);992;1,802;1,17;1,497;0,759655938;;0,523174554;0,620877664;;0,152983215;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);993;3,33;1,961;3,982;1,154811111;;0,451908011;0,578709119;;0,6032664;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);994;1,757;1,54;1,876;1,349800797;;0,820584745;0,985492363;;0,822868912;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);995;1,929;1,786;2,391;1,653600829;;0,8908895;1,069401757;;0,645969127;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);996;3,699;1,959;5,414;1,037491484;;0,385411933;0,445887621;;0,501140206;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);997;3,984;2,409;7,077;1,456646837;;0,47019305;0,547557425;;0,497898439;0,935;fragment;PE;
Center North Atlantic Gyre;23;1mm (FS);998;1,828;1,411;1,479;1,089125274;;0,67815073;0,895558065;;0,809292623;0,935;fragment;PE;
