current;S;L(cat);N;L (mm);W (mm);A (mm);H (mm);H(>5mm);category;PT;
Center North Atlantic Gyre;24;2mm (FS);1482;3,868;2,525;6,389;1,648;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1483;5,921;3,233;10,473;1,765;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1484;3,064;1,842;3,219;1,107;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1485;4,223;2,827;7,706;1,892;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1486;4,232;2,016;5,15;0,96;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1487;5,649;2,898;10,895;1,487;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1488;4,096;3,37;7,427;2,773;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1489;3,921;2,625;7,023;1,757;;fragment;PP;
Center North Atlantic Gyre;24;2mm (FS);1490;4,945;2,46;7,975;1,224;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1491;4,433;3,187;9,57;2,291;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1492;6,918;4,048;15,354;2,369;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1493;5,875;2,367;9,666;0,954;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1494;5,269;3,529;12,164;2,364;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1495;3,648;2,645;5,909;1,918;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1496;4,402;2,758;8,023;1,728;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1497;3,115;1,742;3,776;0,974;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1498;3,72;3,157;8,34;2,679;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1499;6,768;2,254;7,177;0,751;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1500;2,421;0,83;2,988;0,83;0,25;line;PE;
Center North Atlantic Gyre;24;2mm (FS);1501;2,373;2,118;3,305;1,89;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1502;7,481;3,009;11,126;1,21;;fragment;PE;
Center North Atlantic Gyre;24;5mm;1503;6,299;0,83;14,643;0,83;0,25;line;PE;
Center North Atlantic Gyre;24;2mm (FS);1504;4,159;3,473;9,368;2,9;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1505;3,733;3,244;7,734;2,819;;fragment;PP;
Center North Atlantic Gyre;24;2mm (FS);1506;3,823;2,263;4,199;1,34;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1507;3,424;2,848;6,389;2,369;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1508;5,301;3,103;11,318;1,816;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1509;4,079;3,498;9,714;3;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1510;4,561;3,623;10,319;2,878;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1511;4,372;3,151;9,195;2,271;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1512;3,577;2,606;6,63;1,899;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1513;2,468;2,03;3,219;1,67;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1514;4,287;3,137;9,55;2,295;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1515;3,317;2,775;3,507;2,322;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1516;4,73;3,997;12,183;3,378;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1517;4,923;4,28;14,124;0,009;;film;PE;
Center North Atlantic Gyre;24;2mm (FS);1518;6,19;4,356;16,084;3,065;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1519;4,135;3,354;8,301;2,721;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1520;5,046;4,117;14,066;3,359;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1521;5,519;3,72;13,874;2,507;;fragment;PP;
Center North Atlantic Gyre;24;2mm (FS);1522;2,666;1,495;2,354;0,838;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1523;4,577;3,668;9,848;2,94;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1524;4,806;4,171;12,817;3,62;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1525;2,458;1,846;2,815;1,386;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1526;8,281;4,779;17,246;2,758;;fragment;PP;
Center North Atlantic Gyre;24;2mm (FS);1527;7,749;4,347;14,575;2,439;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1528;4,577;3,81;11,76;3,172;;fragment;PP;
Center North Atlantic Gyre;24;2mm (FS);1529;5,097;4,105;13,624;3,306;;fragment;PE;
Center North Atlantic Gyre;24;5mm;1530;11,974;8,134;9,598;0,009;0,009;film;PE;
Center North Atlantic Gyre;24;2mm (FS);1531;5,609;4,575;15,296;3,732;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1532;6,025;4,101;16,036;2,791;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1533;3,97;3,302;8,426;2,746;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1534;6,23;4,803;20,292;3,703;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1535;5,018;3,665;9,954;2,677;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1536;8,122;4,545;21,378;2,543;;fragment;PP;
Center North Atlantic Gyre;24;2mm (FS);1537;6,843;3,854;17,573;2,171;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1538;4,497;3,191;8,762;2,264;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1539;2,176;1,584;2,162;1,153;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1540;5,766;3,652;13,028;2,313;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1541;4,497;3,721;10,492;3,079;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1542;11,45;7,801;55,544;5,315;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1543;4,669;3,612;9,041;2,794;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1544;5,26;3,689;11,414;2,587;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1545;5,588;4,469;15,805;3,574;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1546;5,771;3,824;8,974;2,534;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1547;3,295;2,43;5,179;1,792;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1548;5,521;3,785;12,548;2,595;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1549;3,818;3,365;7,907;2,966;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1550;6,19;4,161;15,382;2,797;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1551;5,933;3,433;13,432;1,986;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1552;5,202;4,061;11,097;3,17;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1553;6,768;6,194;29,727;5,669;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1554;6,353;3,533;14,46;1,965;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1555;7,369;5,597;24,923;4,251;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1556;5,034;3,316;11,27;2,184;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1557;8,505;5,423;25,721;3,458;;fragment;PP;
Center North Atlantic Gyre;24;2mm (FS);1558;4,022;3,04;7,917;2,298;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1559;5,463;4,376;15,988;3,505;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1560;4,878;4,149;12,462;3,529;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1561;6,473;4,422;16,881;3,021;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1562;6,594;4,455;19,716;3,01;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1563;5,391;2,947;10,809;1,611;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1564;4,925;3,798;13,048;2,929;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1565;4,441;3,14;8,119;2,22;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1566;6,28;5,083;20,657;4,114;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1567;4,933;2,896;10,271;1,7;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1568;5,003;4,341;14,873;3,767;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1569;5,8;4,596;16,113;3,642;;fragment;PP;
Center North Atlantic Gyre;24;2mm (FS);1570;6,99;5,202;21,214;3,871;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1571;3,813;3,245;8,58;2,762;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1572;5,703;4,425;15,748;3,433;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1573;5,456;3,39;12,75;2,106;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1574;4,081;3,02;6,764;2,235;;fragment;PP;
Center North Atlantic Gyre;24;2mm (FS);1575;6,213;3,823;15,767;2,352;;fragment;PP;
Center North Atlantic Gyre;24;2mm (FS);1576;6,322;4,509;19,264;3,216;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1577;4,636;3,812;11,914;3,134;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1578;5,787;4,607;17,227;3,668;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1579;5,22;4,068;12,923;3,17;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1580;4,969;3,98;12,904;3,188;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1581;5,435;4,436;17,775;3,621;;fragment;PP;
Center North Atlantic Gyre;24;2mm (FS);1582;5,038;3,642;10,473;2,633;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1583;5,632;4,647;15,796;3,834;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1584;7,123;4,933;21,714;3,416;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1585;5,876;5,105;20,061;4,435;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1586;6,156;5,198;18,889;4,389;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1587;5,176;3,904;14,22;2,945;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1588;4,925;3,979;9,906;3,215;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1589;5,806;3,916;14,374;2,641;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1590;6,052;4,557;17,804;3,431;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1591;3,211;2,366;4,304;1,743;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1592;5,335;3,759;11,462;2,649;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1593;3,705;2,029;4,794;1,111;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1594;5,276;4,066;12,759;3,134;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1595;5,777;4,171;14,854;3,011;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1596;4,691;3,849;10,655;3,158;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1597;6,77;4,944;23,367;3,611;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1598;7,042;4,079;17,352;2,363;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1599;6,156;5,124;22,425;4,265;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1600;8,024;4,352;19,178;2,36;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1601;6,182;4,955;15,997;3,972;;fragment;PP;
Center North Atlantic Gyre;24;2mm (FS);1602;6,281;5,36;21,022;4,574;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1603;5,437;4,742;16,891;4,136;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1604;6,568;4,56;19,965;3,166;;fragment;PE;
Center North Atlantic Gyre;24;5mm;1605;5,666;0,83;16,67;0,83;;line;PE;
Center North Atlantic Gyre;24;2mm (FS);1606;6,446;3,863;15,748;2,315;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1607;5,726;3,867;13,778;2,612;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1608;6,59;3,408;15,402;1,762;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1609;4,823;3,947;12,269;3,23;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1610;3,772;1,65;3,728;0,722;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1611;7,942;4,712;25,625;2,796;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1612;5,284;4,459;16,286;3,763;;fragment;PP;
Center North Atlantic Gyre;24;2mm (FS);1613;6,106;3,798;16,17;2,362;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1614;6,711;5,05;19,485;3,8;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1615;5,195;3,981;14,777;3,051;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1616;6,234;2,983;9,185;1,427;;fragment;PP;
Center North Atlantic Gyre;24;2mm (FS);1617;5,617;3,395;12,154;2,052;;fragment;PP;
Center North Atlantic Gyre;24;2mm (FS);1618;6,529;3,823;17,045;2,239;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1619;5,534;3,529;13,47;2,25;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1620;5,629;3,683;12,759;2,41;;fragment;PP;
Center North Atlantic Gyre;24;2mm (FS);1621;7,912;4,392;22,848;2,438;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1622;7,949;4,515;16,891;2,565;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1623;7,136;5,228;24,712;3,83;;fragment;PE;
Center North Atlantic Gyre;24;2mm (FS);1624;5,573;4,036;14,229;2,923;;fragment;PE;
Center North Atlantic Gyre;24;2mm (rest);1625;3,493;3,074;7,767;2,459;;pellet;*PS;
Center North Atlantic Gyre;24;2mm (rest);1626;5,761;3,309;12,284;1,901;;fragment;PE;
Center North Atlantic Gyre;24;2mm (rest);1627;3,283;2,656;5,773;0,009;;film;PE;
Center North Atlantic Gyre;24;2mm (rest);1628;4,419;3,395;9,182;0,009;;film;PE;
Center North Atlantic Gyre;24;2mm (rest);1629;2,08;1,849;2,733;0,009;;film;PE;
Center North Atlantic Gyre;24;2mm (rest);1630;1,605;1,14;1,129;0,81;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1631;7,34;3,511;16,631;1,679;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1632;4,377;3,395;8,396;2,633;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1633;4,906;2,313;8,423;1,09;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1634;3,75;3,025;7,315;2,44;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1635;3,947;2,962;8,559;2,223;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1636;4,891;2,99;10,127;1,828;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1637;5,079;3,604;13,304;2,557;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1638;3,591;2,829;6,693;2,229;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1639;5,222;3,564;13,67;2,432;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1640;4,588;2,558;8,085;1,426;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1641;5,93;3,488;13,94;2,052;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1642;5,295;4,029;13,413;3,066;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1643;5,36;3,619;11,858;2,444;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1644;4,233;3,14;9,127;2,329;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1645;5,044;4,266;15,549;3,608;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1646;4,907;3,6;11,952;2,641;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1647;5,303;3,079;11,439;1,788;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1648;4,846;3,615;13,413;2,697;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1649;6,505;3,607;11,236;2;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1650;5,181;2,442;9,262;1,151;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1651;4,096;3,292;9,167;2,646;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1652;4,457;3,292;9,316;2,432;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1653;5,429;3,024;10,857;1,684;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1654;4,01;3,065;6,869;2,343;;fragment;PP;
Center North Atlantic Gyre;24;2mm (AEW);1655;4,735;2,701;4,273;1,541;;fragment;PP;
Center North Atlantic Gyre;24;2mm (AEW);1656;4,944;3,807;12,534;2,931;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1657;4,473;3,678;10,154;3,024;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1658;4,634;3,904;11,547;3,289;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1659;3,996;3,433;9,951;2,949;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1660;4,061;3,094;8,707;2,357;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1661;3,708;3,186;8,058;2,737;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1662;3,909;3,277;8,843;2,747;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1663;5,149;2,598;8,64;1,311;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1664;4,772;4,186;14,116;3,672;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1665;3,274;2,791;6,152;2,379;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1666;4,061;3,368;9,41;2,793;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1667;4,428;2,674;5,327;1,615;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1668;4,327;3,536;10,573;2,89;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1669;3,851;3,202;7,707;2,662;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1670;4,473;3,257;9,667;2,372;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1671;4,839;3,745;11,06;2,898;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1672;4,452;3,372;9,83;2,554;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1673;5,907;3,518;14,305;2,095;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1674;5,14;3,837;13,359;2,864;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1675;3,909;3,274;8,586;2,742;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1676;5,35;3,888;13,602;2,826;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1677;4,212;3,528;10,83;2,955;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1678;4,111;2,839;7,125;1,961;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1679;4,933;2,624;8,491;1,396;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1680;4,304;2,912;9,127;1,97;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1681;4,745;2,792;8,707;1,643;;fragment;PP;
Center North Atlantic Gyre;24;2mm (AEW);1682;4,326;3,14;8,248;2,279;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1683;4,451;2,992;9,654;2,011;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1684;4,745;3,433;10,168;2,484;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1685;3,591;2,847;6,896;2,257;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1686;4,193;3,129;9,6;2,335;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1687;4,15;2,791;8,383;1,877;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1688;3,75;2,648;7,098;1,87;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1689;3,451;2,994;7,098;2,598;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1690;4,316;3,091;9,735;2,214;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1691;4,155;3,251;8,356;2,544;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1692;4,836;2,093;8,342;0,906;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1693;3,737;2,991;6,558;2,394;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1694;4,175;3,618;9,83;3,135;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1695;4,541;2,273;7,369;1,138;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1696;3,839;2,513;7,071;1,645;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1697;4,523;3,147;5,287;2,19;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1698;3,865;2,54;7,328;1,669;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1699;3,354;3,124;7,639;2,91;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1700;4,212;2,655;7,491;1,674;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1701;3,096;2,784;6,017;2,503;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1702;4,212;2,772;7,707;1,824;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1703;3,39;2,878;7,031;2,443;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1704;4,733;2,497;6,544;1,317;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1705;3,75;2,674;7,247;1,907;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1706;4,452;2,82;8,667;1,786;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1707;3,39;2,808;6,341;2,326;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1708;5,931;1,828;8,018;0,563;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1709;4,836;2,455;7,423;1,246;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1710;3,809;2,756;7,166;1,994;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1711;4,036;2,093;6,057;1,085;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1712;3,305;2,791;6,733;2,357;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1713;4,365;3,38;7,085;2,617;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1714;3,651;2,549;6,193;1,78;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1715;4,226;3,204;8,937;2,429;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1716;4,15;3,069;8,423;2,27;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1717;3,715;2,908;7,396;2,276;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1718;4,326;2,234;6,233;1,154;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1719;3,396;2,427;5,192;1,734;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1720;3,307;2,471;5,841;1,846;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1721;4,016;2,861;7,923;2,038;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1722;4,015;2,521;6,936;1,583;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1723;4,111;2,309;6,612;1,297;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1724;3,786;2,907;7,45;2,232;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1725;3,651;2,638;6,314;1,906;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1726;4,326;2,426;7,964;1,36;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1727;3,898;2,442;7,734;1,53;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1728;4,016;2,533;7,639;1,598;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1729;5,031;2,247;7,504;1,004;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1730;4,936;2,674;9,789;1,449;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1731;3,536;2,907;7,207;2,39;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1732;4,951;3,209;11,56;2,08;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1733;4,083;2,889;8,275;2,044;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1734;3,757;3,058;8,261;2,489;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1735;3,969;3,472;9,843;3,037;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1736;4,155;2,207;6,544;1,172;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1737;3,176;2,552;6,071;2,051;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1738;3,621;3,002;7,382;2,489;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1739;3,42;2,75;6,544;2,211;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1740;3,274;2,614;6,017;2,087;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1741;3,09;2,674;5,99;2,314;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1742;4,365;2,896;7,761;1,921;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1743;3,75;2,378;6,787;1,508;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1744;3,277;2,861;6,76;2,498;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1745;3,935;3,587;10,222;3,27;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1746;4,443;3,245;9,938;2,37;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1747;3,907;2,625;7,396;1,764;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1748;4,326;2,55;7,261;1,503;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1749;4,201;2,558;7,518;1,558;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1750;3,723;2,791;7,139;2,092;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1751;3,71;2,48;4,502;1,658;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1752;4,967;2,679;10,614;1,445;;fragment;PE;
Center North Atlantic Gyre;24;2mm (AEW);1753;4,316;3,201;9,776;2,374;;fragment;PE;
Center North Atlantic Gyre;24;5mm;1754;5,544;4,769;14,859;0,009;0,009;film;PE;
Center North Atlantic Gyre;24;5mm;1755;5,149;3,492;10,749;0,009;0,009;film;PE;
Center North Atlantic Gyre;24;5mm;1756;5,449;2,796;9,438;0,009;0,009;film;;
Center North Atlantic Gyre;24;5mm;1757;8,986;3,453;15,265;0,009;0,009;film;;
Center North Atlantic Gyre;24;5mm;1758;6,951;3,306;9,167;0,009;0,009;film;;
