current;S;L(cat);N;L (mm);W (mm);A (mm);H (mm);H(>5mm);category;PT;
Center North Atlantic Gyre;21;1mm (AEW);68;3,918;2,802;7,596;2,004;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);69;3,384;2,945;7,262;2,563;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);70;2,752;1,933;3,587;1,358;;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);71;2,153;1,54;1,849;1,102;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);72;4,274;2,136;6,082;1,068;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);73;5,29;2,687;9,267;1,365;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);74;5,53;2,388;9,178;1,031;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);75;3,354;2,431;5,302;1,762;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);76;4,06;2,348;6,861;1,358;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);77;3,077;2,388;4,634;1,853;;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);78;2,691;1,642;3,163;1,002;;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);79;3,983;2,687;7,619;1,813;;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);80;3,692;2,239;5,369;1,358;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);81;6,154;2,789;12,341;1,264;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);82;3,022;2,027;4,01;1,36;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);83;3,337;2,577;5,324;1,99;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);84;4,139;2,914;8,242;2,052;;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);85;5,425;2,29;8,599;0,967;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);86;3,695;2,491;5,681;1,679;;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);87;2,407;1,493;2,584;0,926;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);88;2,607;1,847;3,386;1,309;;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);89;1,888;1,343;1,804;0,955;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);90;3,731;2,388;5,948;1,528;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);91;3,943;2,446;6,928;1,517;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);92;2,484;2,18;3,698;1,913;;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);93;3,731;2,785;7,374;2,079;;fragment;PE;
Center North Atlantic Gyre;21;1mm (AEW);94;2,36;1,791;2,718;1,359;;fragment;PP;
Center North Atlantic Gyre;21;1mm (AEW);95;3,436;2,824;6,906;2,321;;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;96;2,063;1,419;1,867;0,976;;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;97;1,511;1,216;1,177;0,979;;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;98;1,352;0,949;0,921;0,666;;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;99;1,388;0,791;0,757;0,451;;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;100;1,912;1,211;1,325;0,767;;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;101;1,999;1,102;1,544;0,608;;fragment;PE;
Center North Atlantic Gyre;21;0.5mm;102;1,476;1,179;1,118;0,942;;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;103;1,339;1,08;1,033;0,871;;fragment;PP;
Center North Atlantic Gyre;21;0.5mm;104;1,814;0,991;1,451;0,541;;fragment;PE;
