current,S,,N,L (mm),W (mm),A (mm),H (mm),H(>5mm),CSF (LxW),CSF (A),CSF(>5mm),D,category,PT,,,,,MATERIAAL OPTIES,,,,ANTWOORD OPTIES,,,POLYMER OPTIES,
Center North Atlantic Gyre,21,,43,4.098,2.946,7.489,2.118,,0.609524522,0.773894242,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,44,4.144,2.546,6.478,0.009,,0.002647643,0.003378921,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,45,3.855,3.169,8.053,0.009,,0.00246051,0.003030537,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,46,7.273,4.774,18.128,0.009,,0.001459488,0.00201987,,0.875,film,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,47,6.360,3.577,15.899,0.009,,0.001803061,0.002156818,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,48,7.143,3.793,19.762,0.009,,0.001652216,0.001934564,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,49,4.209,3.448,9.302,0.009,,0.002257488,0.002819748,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,2mm (rest),50,1.279,1.086,1.038,0.922,,0.782418159,0.905087213,,na,fragment,undetermined,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,51,1.907,1.500,1.677,1.180,,0.697607031,0.911098421,,na,fragment,*undetermined polymer,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,52,1.380,1.034,1.040,0.775,,0.648577948,0.759705589,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,53,1.738,1.388,1.749,1.108,,0.713689884,0.838174136,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,2mm (AEW),54,4.495,3.779,10.134,3.177,,0.770851628,0.998007116,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,55,3.935,3.226,7.816,2.645,,0.742299964,0.946001258,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,56,4.240,3.610,10.936,3.074,,0.785619072,0.929435586,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,57,3.554,2.741,6.597,2.114,,0.677309891,0.823052248,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,58,5.410,3.600,14.294,2.396,,0.542822516,0.633622875,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,59,5.070,2.758,9.629,1.500,,0.401217118,0.483492755,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,60,4.265,2.758,9.153,1.783,,0.52001137,0.589505358,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,61,5.647,4.731,15.721,0.009,,0.001663846,0.002168994,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,62,6.034,3.654,13.938,0.009,,0.001831519,0.002303553,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,63,3.347,2.758,6.330,2.273,,0.748010724,0.903297808,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,64,4.793,3.628,10.698,2.746,,0.658551547,0.839606575,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,65,4.098,2.946,7.489,2.118,,0.609524522,0.773894242,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,66,4.144,2.546,6.478,0.009,,0.002647643,0.003378921,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,67,3.855,3.169,8.053,0.009,,0.00246051,0.003030537,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,68,7.273,4.774,18.128,0.009,,0.001459488,0.00201987,,0.875,film,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,69,6.360,3.577,15.899,0.009,,0.001803061,0.002156818,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,70,7.143,3.793,19.762,0.009,,0.001652216,0.001934564,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,71,4.209,3.448,9.302,0.009,,0.002257488,0.002819748,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,1mm (FS),72,1.970,1.615,2.290,1.324,,0.7422658,0.874905378,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,1mm (AEW),73,2.336,1.775,2.495,1.349,,0.662351125,0.853863799,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,74,1.558,1.194,1.292,0.915,,0.670896166,0.805026067,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,75,3.044,2.239,4.767,1.647,,0.630832658,0.754294538,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,76,3.077,1.742,3.141,0.009,,0.003714588,0.004852488,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,77,3.974,1.782,5.124,0.799,,0.300275401,0.353006723,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,78,2.008,1.642,2.161,1.343,,0.739459115,0.913387815,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,79,3.117,2.604,5.747,2.175,,0.763583027,0.907453874,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,80,5.942,2.985,8.866,0.009,,0.00204202,0.002888249,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,81,5.406,2.380,8.176,0.009,,0.002397574,0.003007655,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,82,3.918,2.353,6.572,0.009,,0.002832404,0.003354669,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,83,2.278,1.791,2.495,0.009,,0.004257688,0.005444565,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,21,,84,2.670,1.939,3.163,0.009,,0.00377967,0.004835583,,0.935,film,PE,,,,,,,,,,,,,
