current,S,,N,L (mm),W (mm),A (mm),H (mm),H(>5mm),CSF (LxW),CSF (A),CSF(>5mm),D,category,PT,,,,,MATERIAAL OPTIES,,,,ANTWOORD OPTIES,,,POLYMER OPTIES,
Center North Atlantic Gyre,22,,495,1.720,1.358,1.412,0.009,,0.005627096,0.007237375,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,496,1.687,0.794,0.865,0.009,,0.007430716,0.009246777,,na,film,*PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,497,1.632,1.056,1.093,0.009,,0.006550982,0.008225994,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,498,3.313,1.805,3.597,0.009,,0.003516812,0.004534488,,na,film,*PEP,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,499,2.386,1.509,2.277,0.009,,0.0045323,0.00569924,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,500,1.575,1.025,1.025,0.009,,0.006768559,0.008494475,,na,film,*PEP,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,501,1.217,1.056,0.797,0.009,,0.007586146,0.009633171,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,502,2.197,1.013,1.412,0.009,,0.005764726,0.007237375,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,503,2.386,1.760,2.732,0.009,,0.00419669,0.005203051,,0.875,film,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,504,4.063,1.516,3.939,0.009,,0.003465177,0.004333167,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,505,1.431,0.754,0.865,0.009,,0.008279287,0.009246777,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,506,1.099,0.838,0.546,0.009,,0.008961436,0.011638637,,na,film,*PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,507,1.486,1.056,1.047,0.009,,0.006865262,0.008404756,,0.875,film,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,508,2.674,0.250,1.298,0.250,,0.305766078,0.219433365,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,509,7.842,0.250,4.394,0.250,,0.178548656,0.119264168,,0.875,line,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,22,line,510,48.051,0.250,36.136,0.250,,0.072130475,0.041588185,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,511,10.389,0.250,11.320,0.250,,0.155125477,0.074304787,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,512,9.942,0.250,7.391,0.250,,0.158574418,0.091957765,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,513,21.487,0.250,10.651,0.250,,0.107865389,0.07660283,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,514,19.446,0.250,14.793,0.250,,0.113384807,0.064999779,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,515,33.026,0.250,26.000,0.250,,0.08700456,0.049029034,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,516,19.707,0.250,11.438,0.250,,0.112631468,0.073920511,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,517,23.097,0.250,23.574,0.250,,0.104038053,0.051490057,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,518,21.899,0.250,11.006,0.250,,0.1068459,0.075357287,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,519,9.077,0.250,7.107,0.250,,0.165958246,0.093777111,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,520,20.329,0.250,21.444,0.250,,0.110895008,0.053986741,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,521,22.121,0.250,13.450,0.250,,0.106308411,0.068167735,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,522,14.071,0.250,6.402,0.250,,0.133293055,0.09880574,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,523,11.314,0.250,7.811,0.250,,0.148648974,0.089451307,,0.935,line,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,524,27.343,0.250,35.485,0.250,,0.0956196,0.041967935,,0.875,line,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,525,9.004,0.250,19.686,0.250,,0.166629642,0.056345764,,0.875,line,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,526,19.319,0.250,42.325,0.250,,0.113756883,0.038427446,,0.875,line,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,22,,527,5.080,0.250,1.065,0.250,,0.221839127,0.242250792,,0.875,line,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,23,5mm,528,4.000,4.000,na,4.000,4.000,1,na,1,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,529,5.000,3.500,na,2.450,1.000,0.585662019,na,0.239045722,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,530,6.500,4.000,na,2.462,0.700,0.48274741,na,0.137281295,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,531,7.000,4.000,na,2.286,1.000,0.431959398,na,0.188982237,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,532,7.000,5.000,na,3.571,1.000,0.603681611,na,0.169030851,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,533,6.500,4.500,na,3.115,1.000,0.576034819,na,0.184900065,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,534,5.500,4.000,na,2.909,1.000,0.620220266,na,0.213200716,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,535,5.200,5.000,na,4.808,1.000,0.942866034,na,0.196116135,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,536,6.000,5.500,na,5.042,0.500,0.877641515,na,0.087038828,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,537,6.000,5.000,na,4.167,0.500,0.760725774,na,0.091287093,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,538,6.500,5.500,na,4.654,0.200,0.778348332,na,0.03344968,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,539,10.000,6.000,na,3.600,1.000,0.464758002,na,0.129099445,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,540,8.000,3.000,na,1.125,0.100,0.229639663,na,0.020412415,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,541,6.000,5.500,na,5.042,1.000,0.877641515,na,0.174077656,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,542,9.000,4.000,na,1.778,0.500,0.296296296,na,0.083333333,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,543,0.200,5.200,na,135.200,0.300,132.5745074,na,0.294174203,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,544,7.500,5.000,na,3.333,0.500,0.544331054,na,0.081649658,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,545,7.500,4.000,na,2.133,0.100,0.389491596,na,0.018257419,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,546,5.000,4.000,na,3.200,1.000,0.715541753,na,0.223606798,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,547,5.500,5.000,na,4.545,1.000,0.866784172,na,0.190692518,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,548,5.000,4.000,na,3.200,1.000,0.715541753,na,0.223606798,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,549,6.500,5.000,na,3.846,3.000,0.674660015,na,0.526234812,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,550,7.000,3.500,na,1.750,0.500,0.353553391,na,0.101015254,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,551,16.000,12.000,na,9.000,3.500,0.649519053,na,0.252590743,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,552,6.500,6.000,na,5.538,4.000,0.886863621,na,0.640512615,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,553,4.500,4.000,na,3.556,3.000,0.838052481,na,0.707106781,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,554,7.500,4.000,na,0.009,0.009,0.001570138,na,0.001643168,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,555,23.000,13.500,na,0.009,0.009,0.000488054,na,0.000510754,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,556,21.000,16.000,na,0.009,0.009,0.000469168,na,0.00049099,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,557,25.000,22.000,na,0.009,0.009,0.000366705,na,0.000383761,1.07,film,PS,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,558,8.500,6.000,na,4.235,3.500,0.5930598,na,0.490098029,1.07,foam,PS,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,559,10.000,8.000,na,6.400,1.500,0.715541753,na,0.167705098,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,560,5.200,4.500,na,3.894,1.000,0.805033133,na,0.206724558,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,561,13.500,7.500,na,4.167,5.000,0.414086662,na,0.496903995,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,562,5.000,4.000,na,3.200,1.000,0.715541753,na,0.223606798,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,563,10.000,8.000,na,6.400,1.500,0.715541753,na,0.167705098,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,564,7.500,6.000,na,4.800,0.700,0.715541753,na,0.104349839,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,565,5.000,4.800,na,4.608,0.700,0.940604061,na,0.142886902,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,566,10.500,5.000,na,0.009,0.009,0.001186913,na,0.001242118,na,film,NIR,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,567,20.000,5.000,na,0.009,0.009,0.00086,na,0.0009,na,film,NIR,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,568,20.500,15.500,na,0.009,0.009,0.000482454,na,0.000504893,na,film,NIR,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,569,11.000,5.000,na,0.009,0.009,0.001159624,na,0.00121356,na,film,NIR,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,570,6.000,6.500,na,0.009,0.009,0.001377102,na,0.001441153,na,film,OB,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,571,7.000,5.500,na,0.009,0.009,0.001386015,na,0.001450481,0.875,film,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,572,5.500,5.000,na,0.009,0.009,0.001639956,na,0.001716233,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,573,8.500,4.000,na,0.009,0.009,0.001474888,na,0.001543487,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,574,11.000,4.000,na,0.009,0.009,0.001296499,na,0.001356801,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,575,10.000,4.000,na,0.009,0.009,0.001359779,na,0.001423025,na,film,OB,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,576,11.000,2.000,na,0.009,0.009,0.001833526,na,0.001918806,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,577,16.000,2.000,na,0.009,0.009,0.00152028,na,0.00159099,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,FS (2mm),578,3.230,2.062,3.719,1.316,,0.510069327,0.682592812,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,579,4.526,3.409,9.853,2.568,,0.653685238,0.818003593,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,580,6.325,4.391,18.079,3.048,,0.57843473,0.716933942,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,581,5.235,3.609,11.002,2.488,,0.572407472,0.750103614,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,582,5.894,4.732,18.737,3.799,,0.719369311,0.877666076,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,583,5.963,3.573,11.441,2.141,,0.463823032,0.632949746,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,584,6.185,4.639,15.186,3.479,,0.649571561,0.892868175,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,585,6.109,4.562,16.710,3.407,,0.645323876,0.833397535,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,586,5.438,4.857,18.311,4.338,,0.844098931,1.013773588,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,587,6.461,4.741,21.139,3.479,,0.62857242,0.756655077,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,588,5.932,4.500,15.560,3.414,,0.660719398,0.86540438,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,589,5.068,4.312,13.197,3.669,,0.784807634,1.009911435,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,590,4.046,2.568,4.765,1.630,,0.505654308,0.746676886,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,591,4.455,3.050,8.742,2.088,,0.566471672,0.706230662,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,592,5.253,3.525,9.943,2.365,,0.549702334,0.750156924,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,593,7.276,4.318,18.815,2.563,,0.457177577,0.590772776,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,594,5.149,3.863,13.417,2.898,,0.64983444,0.791222838,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,595,4.828,3.693,11.945,2.825,,0.668987602,0.817331575,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,596,5.464,4.995,17.549,4.566,,0.874051863,1.090019099,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,597,4.934,3.261,9.814,2.155,,0.537313164,0.687985723,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,598,5.104,3.182,10.666,1.984,,0.492248345,0.607419731,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,599,4.736,3.763,11.996,2.990,,0.70824544,0.863253831,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,600,8.209,5.394,20.648,3.544,,0.53263663,0.779996462,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,601,3.672,3.045,7.709,2.525,,0.755139063,0.909437585,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,602,5.492,3.842,12.552,2.688,,0.585113674,0.758626007,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,603,5.238,3.638,11.519,2.527,,0.578823028,0.744479093,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,604,4.327,3.182,8.846,2.340,,0.630623165,0.786755863,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,605,4.835,3.771,10.589,2.941,,0.688795151,0.903834911,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,606,8.323,4.057,19.641,0.009,,0.001479981,0.001940513,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,607,5.384,3.136,10.150,1.827,,0.444535557,0.573342368,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,608,5.399,4.545,15.509,3.826,,0.772379681,0.971544169,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,609,5.342,3.435,4.468,2.209,,0.515625381,1.044944001,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,610,5.804,4.730,17.355,3.855,,0.735699745,0.925300014,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,611,6.153,4.743,16.103,3.656,,0.676782802,0.911099772,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,612,5.360,3.921,9.659,2.868,,0.625673958,0.922917353,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,613,4.223,3.508,9.698,2.914,,0.75710786,0.935743886,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,614,3.593,2.816,6.263,2.207,,0.693846097,0.881894995,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,615,4.906,4.391,13.649,3.930,,0.846747338,1.063772878,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,616,4.992,3.454,11.118,2.390,,0.575534861,0.716731934,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,617,4.758,3.215,9.143,2.172,,0.555437004,0.718444388,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,618,5.349,3.509,12.965,2.302,,0.531332224,0.639304672,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,619,7.223,6.186,28.048,5.298,,0.792571499,1.000348366,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,620,4.524,3.776,11.635,3.152,,0.762542553,0.923970661,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,621,3.436,2.094,3.164,0.009,,0.003206148,0.004834819,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,622,4.839,4.174,13.094,3.600,,0.801115683,0.994977131,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,623,5.683,4.035,14.850,2.865,,0.598272202,0.743440464,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,624,8.071,3.369,17.110,1.406,,0.2696873,0.339977104,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,625,6.576,4.975,22.650,3.764,,0.658031859,0.790842977,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,626,5.044,4.184,12.810,3.471,,0.755483349,0.969691768,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,627,4.939,3.775,11.945,2.885,,0.668216038,0.834837231,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,628,5.497,3.708,13.133,2.501,,0.55401431,0.690194894,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,629,6.188,4.603,16.142,3.424,,0.641558118,0.852222455,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,630,7.837,4.903,26.640,3.067,,0.494843728,0.594301504,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,631,3.559,2.743,5.372,2.114,,0.676622958,0.912127659,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,632,3.833,3.199,7.683,2.670,,0.762453094,0.963217234,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,633,4.939,3.409,9.762,2.353,,0.57343205,0.753087735,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,634,4.169,3.295,7.025,2.604,,0.702643909,0.98255253,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,635,4.526,4.063,10.950,3.647,,0.85054718,1.102229513,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,636,5.021,4.318,14.037,3.713,,0.797514568,0.991146621,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,637,7.223,6.413,22.895,5.694,,0.836595333,1.189965968,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,638,4.386,3.230,9.078,2.379,,0.631976374,0.789480356,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,639,7.191,5.751,21.552,4.599,,0.715205949,0.990726221,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,640,7.274,4.852,21.333,3.236,,0.54478011,0.700716463,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,641,5.205,3.879,13.210,2.891,,0.643351871,0.795366723,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,642,5.541,2.961,10.886,1.582,,0.390638808,0.479572752,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,643,4.571,3.237,9.323,2.292,,0.595932701,0.750751719,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,644,5.866,3.044,11.080,1.580,,0.373812555,0.474544951,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,645,4.246,3.267,8.110,2.514,,0.674922205,0.88268928,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,646,5.710,4.794,18.130,4.025,,0.769294951,0.945281262,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,647,7.117,5.107,24.729,3.665,,0.607859681,0.736938884,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,648,4.136,3.092,8.897,2.312,,0.646380778,0.774955286,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,649,5.355,3.833,13.456,2.744,,0.605576504,0.747928658,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,650,4.537,3.448,9.737,2.620,,0.662518053,0.839756067,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,651,6.361,4.430,11.583,3.085,,0.581189147,0.906507765,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,652,5.893,4.773,17.911,3.866,,0.728924403,0.91345364,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,653,3.456,2.144,3.538,1.330,,0.488625998,0.707126176,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,654,4.465,3.435,6.896,2.643,,0.674773343,1.006313718,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,655,5.682,3.291,9.827,1.906,,0.440798369,0.608056671,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,656,4.243,3.335,8.019,2.621,,0.696841825,0.925675007,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,657,4.574,2.971,6.030,1.930,,0.523491624,0.785869597,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,658,5.012,3.839,10.253,2.941,,0.670363832,0.918331927,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,659,5.485,2.952,9.414,1.589,,0.394829489,0.517808264,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,660,6.213,4.886,16.826,3.842,,0.697393931,0.93673151,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,661,4.386,2.885,8.561,1.898,,0.533477104,0.648575829,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,662,2.983,2.250,3.990,1.697,,0.655079331,0.849621189,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,663,2.515,1.931,3.202,1.483,,0.672769705,0.828544606,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,664,4.069,3.146,8.148,2.432,,0.679839732,0.852126824,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,665,5.850,4.014,15.715,2.754,,0.568371448,0.694770992,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,666,4.477,2.795,7.632,1.745,,0.493278375,0.631622146,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,667,4.681,3.960,11.209,3.350,,0.778098928,1.000617966,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,668,5.125,3.182,9.259,1.976,,0.48922592,0.649268658,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,669,6.286,4.699,17.962,3.513,,0.646318523,0.828817987,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,670,4.021,2.922,8.045,2.123,,0.619468472,0.748623276,,0.875,fragment,PP,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,671,5.389,2.906,9.698,1.567,,0.395987192,0.503201522,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,672,5.843,5.056,20.015,4.375,,0.804927506,0.977913512,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,673,4.964,3.959,9.440,3.157,,0.712246942,1.027668947,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,674,4.705,3.659,11.028,2.846,,0.685810567,0.856873699,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,675,5.572,4.472,15.535,3.589,,0.719011821,0.910619305,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,676,4.259,1.693,3.706,0.009,,0.003202699,0.004467306,,0.935,film,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,677,4.742,2.271,7.180,1.088,,0.331423559,0.405892005,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,678,5.894,4.644,17.355,3.659,,0.69939596,0.878338626,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,679,4.992,3.918,10.666,3.075,,0.695320098,0.941571917,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,680,7.762,5.418,25.529,3.782,,0.583173852,0.748492514,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,681,4.355,3.409,10.163,2.668,,0.692561369,0.837056707,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,682,3.216,2.583,5.294,2.075,,0.719801171,0.901655848,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,683,6.146,4.681,17.807,3.565,,0.664689974,0.844868945,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,684,3.120,2.273,4.352,1.656,,0.621823689,0.793779418,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,685,4.774,3.827,11.312,3.068,,0.717734911,0.912146953,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,686,5.145,3.052,10.189,1.810,,0.4568764,0.567176069,,0.935,fragment,PE,,,,,,,,,,,,,
Center North Atlantic Gyre,23,,687,6.352,3.974,13.946,2.486,,0.494852832,0.66576415,,0.935,fragment,PE,,,,,,,,,,,,,
