"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se"
"length","numeric",6942,0,2870,4.26859889634998,2.5855,2.5855,NA,6.56458311009598,NA,1,89.0584615384615,88.0584615384615,6.34065878955558,107.861108249178,50.5892361303619,430.349308741795
"width","numeric",6942,0,2300,1.96789628349179,1.568,1.568,NA,1.29061242197681,NA,0.2,16,15.8,2.53204317900856,43.0726510425863,12.8535818896735,109.342036057295
"height_obs","numeric",349,0.949726303658888,20,1.26790830945559,1,1,NA,0.787401833082131,NA,0.1,5,4.9,1.82337542614431,6.98293874625806,4.30250920585723,8.2617107114517
"category","character",6942,0,4,NA,NA,5605,"Fragment",NA,0.328139166179235,NA,NA,NA,NA,NA,NA,NA
"poly_type","character",4841,0.302650532987612,4,NA,NA,4299,"PE",NA,0.200324459518962,NA,NA,NA,NA,NA,NA,NA
